loss,mae,val_loss,val_mae
0.08256956934928894,0.24213376641273499,0.0768909826874733,0.23586605489253998
0.06422116607427597,0.2136223316192627,0.050843484699726105,0.18635523319244385
0.04631079360842705,0.17461037635803223,0.043581634759902954,0.16821327805519104
0.041399065405130386,0.1630977839231491,0.03919204697012901,0.15818428993225098
0.03691519424319267,0.1531999558210373,0.034244827926158905,0.14715667068958282
0.03148677200078964,0.1404075175523758,0.02837015874683857,0.13209214806556702
0.025820821523666382,0.12481443583965302,0.022884465754032135,0.11610455065965652
0.019924847409129143,0.10593484342098236,0.017168797552585602,0.09604713320732117
0.015811707824468613,0.09203241020441055,0.014289489947259426,0.08674870431423187
0.013534518890082836,0.0844900831580162,0.01246829703450203,0.08006976544857025
0.012062259949743748,0.07902352511882782,0.011228605173528194,0.07585088908672333
0.011025477200746536,0.07515083253383636,0.010336891748011112,0.0722314640879631
0.010243854485452175,0.07202630490064621,0.009703987278044224,0.06987030059099197
0.00964432768523693,0.06950519979000092,0.009138790890574455,0.06775666028261185
0.009170541539788246,0.06751979887485504,0.0087903942912817,0.06633951514959335
0.00881962664425373,0.06602833420038223,0.008351247757673264,0.06434503197669983
0.00851353257894516,0.064802385866642,0.0081095639616251,0.06364715099334717
0.008264364674687386,0.06384917348623276,0.007999650202691555,0.06360551714897156
0.008110725320875645,0.06336292624473572,0.007737817708402872,0.062166761606931686
0.00797476526349783,0.06291243433952332,0.007628760766237974,0.062031567096710205
0.007837705314159393,0.06247441843152046,0.007540333550423384,0.06185995042324066
0.007735527120530605,0.062230389565229416,0.007408668752759695,0.06119329482316971
0.007646785117685795,0.06198221072554588,0.007328380364924669,0.060992203652858734
0.007590854540467262,0.06182552129030228,0.007265264168381691,0.06085224449634552
0.0075230104848742485,0.06162638962268829,0.007235934492200613,0.06082012876868248
0.0074615636840462685,0.06146658584475517,0.007145194336771965,0.060317881405353546
0.007394934538751841,0.061226993799209595,0.007091099396348,0.06046092137694359
0.007360214367508888,0.06112664192914963,0.007065810728818178,0.06031085178256035
0.007316034287214279,0.06103553995490074,0.007030916400253773,0.06011248752474785
0.007276863791048527,0.06083039566874504,0.006995127536356449,0.05993959680199623
0.007261715829372406,0.06074137985706329,0.007009865250438452,0.060168832540512085
0.0072290487587451935,0.06063472107052803,0.006977068725973368,0.06010804325342178
0.0072031463496387005,0.06054209917783737,0.006940100342035294,0.059703122824430466
0.0071725123561918736,0.06041157990694046,0.006987127009779215,0.06018228456377983
0.007166960742324591,0.06035809591412544,0.00696764700114727,0.060053396970033646
0.007110197562724352,0.060146763920784,0.006859333720058203,0.059159472584724426
0.007089459802955389,0.05998498946428299,0.006805202923715115,0.059145256876945496
0.007043550722301006,0.059828124940395355,0.006777528207749128,0.05904213339090347
0.006997469812631607,0.05959205701947212,0.006734057329595089,0.05902079492807388
0.00694764219224453,0.05931257829070091,0.00666846102103591,0.05830109864473343
0.006891300436109304,0.059027448296546936,0.006618891842663288,0.05802021920681
0.006837841123342514,0.058714207261800766,0.006538557820022106,0.05771392211318016
0.006755700334906578,0.05831146985292435,0.006522395648062229,0.05805666372179985
0.0066518159583210945,0.057735756039619446,0.006379324477165937,0.056765008717775345
0.0065485709346830845,0.057159245014190674,0.006273170467466116,0.056546784937381744
0.006450239103287458,0.056564755737781525,0.006175207439810038,0.05598199740052223
0.006303988862782717,0.05580178648233414,0.006012586876749992,0.0544300302863121
0.006170253735035658,0.05494970455765724,0.005861985497176647,0.053792305290699005
0.0060286144725978374,0.05407579243183136,0.005784789565950632,0.05335550755262375
0.00591737125068903,0.053504928946495056,0.005618718918412924,0.052008338272571564
0.0058043343015015125,0.052733633667230606,0.005527855362743139,0.051304642111063004
0.005716067738831043,0.052207209169864655,0.005436662118881941,0.05107735097408295
0.005634139757603407,0.05167362466454506,0.005392882041633129,0.05073799192905426
0.005564337596297264,0.05132981017231941,0.005321391858160496,0.05013963580131531
0.005514875520020723,0.05096679553389549,0.005272469017654657,0.050139132887125015
0.005462219938635826,0.05073423683643341,0.005215486977249384,0.04968944564461708
0.005427607335150242,0.05049309879541397,0.005247044842690229,0.05012290179729462
0.005392896011471748,0.05035071447491646,0.005183258559554815,0.049618665128946304
0.005343415774405003,0.05006974935531616,0.005126544740051031,0.049207061529159546
0.00531339505687356,0.049870237708091736,0.00508321775123477,0.04904329031705856
0.005273032002151012,0.04967798665165901,0.005051017738878727,0.048767443746328354
0.00523469178006053,0.049432527273893356,0.005018537864089012,0.048610638827085495
0.0052002244628965855,0.049204204231500626,0.004977806471288204,0.04812276363372803
0.005173513665795326,0.04901128262281418,0.005002445541322231,0.048447683453559875
0.005149547476321459,0.04887387901544571,0.004960709251463413,0.04842067509889603
0.0051230755634605885,0.04875883460044861,0.004913434851914644,0.04789949208498001
0.005096700042486191,0.04851864278316498,0.004916007164865732,0.04808187857270241
0.005071639083325863,0.048414479941129684,0.004854273516684771,0.04745674133300781
0.005056845024228096,0.04828071966767311,0.0048531945794820786,0.047634273767471313
